course_name,course_domain,course_description,course_level,platform,organisation,course_rating
Nutrition and Healthy Living,Health & Fitness,"Learn the principles of nutrition for healthy living. Covers macronutrients, micronutrients, weight management, and meal planning.",Beginner,Coursera,Cornell University,4.6
Mental Health and Wellbeing,Health & Fitness,"Course on mental health awareness. Covers stress management, anxiety, depression, resilience, and positive psychology strategies.",Beginner,Coursera,University of Melbourne,4.7
Anatomy: Musculoskeletal and Integumentary Systems,Medicine,"Learn musculoskeletal and skin anatomy. Covers bones, muscles, joints, tendons, and the integumentary system.",Intermediate,Coursera,University of Michigan,4.6
The Science of Well-Being,Medicine,"Yale's popular happiness course. Covers research on happiness, positive psychology, behavior change, and building good habits.",Beginner,Coursera,Yale University,4.9
Introduction to Pharmacy,Medicine,"Introduction to pharmaceutical sciences. Covers drug action, drug safety, pharmacokinetics, and pharmacy practice.",Beginner,edX,UCL,4.5
Epidemiology in Public Health Practice,Medicine,"Learn epidemiology for public health. Covers study design, bias, confounding, disease surveillance, and outbreak investigation.",Intermediate,Coursera,Johns Hopkins University,4.6
Introduction to American Law,Law,"Introduction to the U.S. legal system. Covers tort law, contracts, civil procedure, criminal law, and constitutional law.",Beginner,Coursera,University of Pennsylvania,4.5
Contract Law: From Trust to Promise to Contract,Law,"Learn contract law fundamentals. Covers offer, acceptance, consideration, breach, remedies, and modern contract practice.",Beginner,edX,Harvard University,4.7
Copyright Law in the Music Industry,Law,"Learn copyright law as it applies to music. Covers copyright basics, licensing, fair use, and digital rights management.",Beginner,Coursera,Berklee Online,4.5
Introduction to International Law,Law,"Survey of international law. Covers state sovereignty, treaties, human rights, international dispute resolution, and global governance.",Beginner,edX,Geneva Academy,4.4
Introduction to Psychology,Psychology,"Survey of psychology covering perception, cognition, emotion, personality, behavior, and clinical perspectives.",Beginner,Coursera,Yale University,4.8
Social Psychology,Psychology,"Learn social psychology principles. Covers attitudes, social influence, group dynamics, prejudice, and interpersonal relationships.",Beginner,Coursera,Wesleyan University,4.6
Psychological First Aid,Psychology,"Learn to provide psychological first aid in crisis situations. Covers stress reactions, support techniques, and self-care for helpers.",Beginner,Coursera,Johns Hopkins University,4.7
Positive Psychology,Psychology,"Learn positive psychology and the science of well-being. Covers strengths, resilience, happiness, mindfulness, and flourishing.",Beginner,edX,University of North Carolina,4.6
Teaching the World: Foundational Principles,Education,"Learn foundational principles of teaching. Covers learning theory, curriculum design, assessment, and classroom management.",Beginner,Coursera,Duke University,4.5
Instructional Design and Technology,Education,"Learn instructional design for creating effective learning experiences. Covers ADDIE, rapid prototyping, multimedia learning, and eLearning tools.",Intermediate,edX,Purdue University,4.5
Teaching English Online,Education,"Learn to teach English as a foreign language online. Covers lesson planning, tools, student engagement, and assessment.",Beginner,Udemy,Teach Away,4.4
Cooking for Beginners: Essential Skills,Cooking,"Learn fundamental cooking techniques. Covers knife skills, cooking methods, flavor building, meal planning, and kitchen safety.",Beginner,edX,Rouxbe,4.6
Plant-Based Cooking Masterclass,Cooking,"Learn plant-based cooking from scratch. Covers vegetable preparation, grains, legumes, plant proteins, and creating balanced plant-based meals.",Beginner,Udemy,Forks Over Knives,4.5
Professional Pastry Arts,Cooking,"Learn professional pastry techniques. Covers baking fundamentals, bread, cakes, cookies, tarts, and chocolate work.",Intermediate,edX,Rouxbe,4.6
Introduction to Engineering Mechanics,Engineering,"Learn statics and dynamics for engineering. Covers forces, moments, equilibrium, kinematics, and Newton's laws.",Beginner,Coursera,Georgia Tech,4.5
The Finite Element Method,Engineering,"Learn FEM for structural analysis. Covers discretization, element formulation, boundary conditions, and FEM software.",Advanced,Coursera,University of Michigan,4.4
Circuit Design and Analysis,Engineering,"Learn to design and analyze electronic circuits. Covers Ohm's law, Kirchhoff's laws, op-amps, filters, and circuit simulation.",Intermediate,edX,MIT,4.7
Introduction to Mechanical Engineering Design,Engineering,"Learn mechanical design principles. Covers design process, failure analysis, materials selection, and tolerancing.",Beginner,Coursera,Georgia Tech,4.5
Introduction to Aeronautical Engineering,Engineering,"Introduction to aerospace engineering. Covers aerodynamics, structures, propulsion, stability, and control of aircraft.",Intermediate,edX,TU Delft,4.6
Introduction to Chemical Engineering,Engineering,"Introduction to chemical engineering principles. Covers mass and energy balances, thermodynamics, transport phenomena, and reaction engineering.",Intermediate,edX,MIT,4.6
Civil Engineering: Structural Analysis,Engineering,"Learn structural analysis for civil engineering. Covers trusses, beams, frames, influence lines, and matrix methods.",Intermediate,edX,MIT,4.5
Introduction to Sustainable Architecture,Architecture,"Learn sustainable design principles. Covers passive design, energy efficiency, green materials, and sustainable site development.",Beginner,edX,TU Delft,4.5
Parametric Architecture with Grasshopper,Architecture,"Learn parametric design using Grasshopper and Rhino. Covers algorithmic design, complex forms, and digital fabrication.",Intermediate,Udemy,Studio Aiko,4.5
Urban Design: Cities and Spaces,Architecture,"Learn urban design principles. Covers urban morphology, placemaking, public space design, and urban sustainability.",Beginner,edX,Chalmers University,4.4
Complete C# Unity Game Developer 2D,Game Development,"Learn to code and make 2D games in Unity. Covers C#, physics, animation, UI, and publishing to multiple platforms.",Beginner,Udemy,GameDev.tv,4.7
Complete C# Unity Game Developer 3D,Game Development,"Learn to code and make 3D games in Unity. Covers 3D game mechanics, scripting, AI, particle systems, and multiplayer.",Intermediate,Udemy,GameDev.tv,4.7
Unreal Engine 5 – The Complete Beginner's Course,Game Development,"Learn Unreal Engine 5 from scratch. Covers Blueprints, 3D environments, lighting, physics, animations, and game logic.",Beginner,Udemy,GameDev.tv,4.6
Introduction to Game Design,Game Development,"Learn game design principles. Covers game mechanics, player experience, level design, prototyping, and playtesting.",Beginner,Coursera,CalArts,4.5
HTML5 Canvas and JavaScript Game Development,Game Development,"Learn game development using HTML5 Canvas and JavaScript. Covers rendering, collision detection, sprite animation, and game loops.",Intermediate,YouTube (freeCodeCamp),freeCodeCamp,4.6
iOS App Development with Swift,Mobile Development,"Learn to build iOS apps with Swift. Covers Xcode, UIKit, Auto Layout, Core Data, networking, and App Store submission.",Intermediate,Udemy,Angela Yu,4.8
Android Development Masterclass in Kotlin,Mobile Development,"Learn Android development with Kotlin. Covers Activities, Fragments, RecyclerView, MVVM, Room, Retrofit, and Jetpack Compose.",Intermediate,Udemy,Denis Panjuta,4.5
React Native – The Practical Guide,Mobile Development,"Build mobile apps with React Native and Expo. Covers components, navigation, state management, REST APIs, and publishing.",Intermediate,Udemy,Maximilian Schwarzmüller,4.6
Flutter & Dart – The Complete Guide,Mobile Development,"Learn Flutter and Dart to build beautiful mobile apps. Covers widgets, state management, Firebase, and app deployment.",Intermediate,Udemy,Maximilian Schwarzmüller,4.6
Robotics Specialization,Robotics,"Learn robotics fundamentals. Covers aerial robotics, computational motion planning, mobility, perception, and estimation.",Intermediate,Coursera,University of Pennsylvania,4.6
Introduction to Robotics,Robotics,"Foundational robotics course. Covers kinematics, dynamics, motion planning, and robot programming.",Intermediate,edX,Columbia University,4.5
ROS for Beginners,Robotics,"Introduction to Robot Operating System (ROS). Covers ROS architecture, nodes, topics, services, and building ROS applications.",Beginner,Udemy,Edouard Renard,4.5
An Introduction to Programming the Internet of Things,Internet of Things,"Learn IoT programming. Covers sensors, actuators, embedded systems, networking protocols, and cloud connectivity for IoT.",Beginner,Coursera,UC Irvine,4.4
Raspberry Pi Full Course,Internet of Things,"Learn to use Raspberry Pi for IoT projects. Covers setup, GPIO, sensors, Python programming, and building IoT devices.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.7
Arduino Programming and Hardware Fundamentals,Internet of Things,"Learn Arduino programming for IoT. Covers digital/analog I/O, sensors, motors, displays, and wireless communication.",Beginner,Udemy,Edouard Renard,4.5
Introduction to Virtual Reality,AR/VR,"Learn to create virtual reality experiences. Covers VR hardware, Unity VR development, interaction design, and VR best practices.",Beginner,Coursera,UC San Diego,4.5
Unity XR: How to Build AR and VR Apps,AR/VR,"Learn augmented and virtual reality development with Unity. Covers ARCore, ARKit, VR interaction, and XR design patterns.",Intermediate,Udemy,Jonathan Linowes,4.4
The Introduction to Quantum Computing,Quantum Computing,"Introduction to quantum computing fundamentals. Covers qubits, superposition, entanglement, quantum gates, and quantum algorithms.",Beginner,Coursera,Saint Petersburg State University,4.4
Quantum Computing with Qiskit,Quantum Computing,"Learn quantum programming with IBM's Qiskit. Covers quantum circuits, algorithms, quantum error correction, and running on real quantum hardware.",Intermediate,edX,IBM,4.5
Global Warming I: The Science and Modeling of Climate Change,Environmental Science,"Learn the science of climate change. Covers greenhouse effect, climate feedbacks, ocean-atmosphere interaction, and climate models.",Intermediate,Coursera,University of Chicago,4.6
Sustainability and Green Architecture,Environmental Science,"Learn sustainable design and green building. Covers energy efficiency, LEED certification, passive design, and green materials.",Beginner,edX,TU Delft,4.5
Environmental Law and Policy,Environmental Science,"Introduction to environmental law and policy. Covers environmental regulation, climate law, international environmental agreements, and sustainability policy.",Beginner,Coursera,Vermont Law School,4.4
